Embedding	Accuracy	Class 1 Acc	Class 2 Acc	Class 3 Acc	Class 4 Acc	Class 6 Acc
12BCDFG	0.814113124656782	1917/2676	1860/2317	5066/5825	47/98	5/10
12BCDG	0.8040453963023979	1869/2676	1840/2317	5025/5825	47/98	4/10
12BCE	0.7398865092440051	1726/2676	1743/2317	4569/5825	43/98	3/10
12BCEF	0.7661541277686253	1795/2676	1785/2317	4740/5825	46/98	5/10
12BCEFG	0.7711879919458173	1808/2676	1766/2317	4801/5825	46/98	5/10
12BCEG	0.7467508694856306	1756/2676	1727/2317	4631/5825	41/98	4/10
12BCF	0.7368661907376899	1765/2676	1749/2317	4487/5825	46/98	4/10
12BCFG	0.7457440966501923	1765/2676	1741/2317	4591/5825	47/98	4/10
12BCG	0.7006223686619074	1688/2676	1661/2317	4256/5825	48/98	2/10
12BD	0.8211605345048508	1923/2676	1884/2317	5114/5825	48/98	3/10
12BDE	0.8136555006406736	1902/2676	1874/2317	5065/5825	43/98	6/10
12BDEF	0.8174080175727623	1923/2676	1866/2317	5091/5825	45/98	6/10
12BDEFG	0.8165842943437671	1899/2676	1864/2317	5107/5825	47/98	5/10
12BDEG	0.8117334797730185	1893/2676	1864/2317	5067/5825	40/98	5/10
12BDF	0.8250045762401611	1938/2676	1898/2317	5124/5825	50/98	4/10
12BDFG	0.8227164561596193	1930/2676	1879/2317	5129/5825	47/98	4/10
12BDG	0.8170419183598755	1909/2676	1852/2317	5117/5825	45/98	4/10
12BE	0.7609372139849899	1772/2676	1763/2317	4735/5825	41/98	3/10
12BEF	0.7817133443163097	1827/2676	1809/2317	4854/5825	46/98	5/10
12BEFG	0.7836353651839648	1835/2676	1781/2317	4895/5825	46/98	5/10
12BEG	0.7666117517847336	1798/2676	1743/2317	4790/5825	41/98	4/10
12BF	0.7613948380010983	1818/2676	1799/2317	4653/5825	45/98	4/10
12BFG	0.7649643053267435	1802/2676	1768/2317	4736/5825	48/98	4/10
12BG	0.7321984257733846	1736/2676	1704/2317	4511/5825	47/98	2/10
12C	0.6720666300567454	1630/2676	1655/2317	4008/5825	47/98	3/10
12CD	0.8045030203185063	1876/2676	1852/2317	5013/5825	46/98	3/10
12CDE	0.8020318506315212	1862/2676	1846/2317	5006/5825	44/98	5/10
12CDEF	0.8077063884312649	1898/2676	1843/2317	5033/5825	45/98	6/10
12CDEFG	0.8092623100860333	1888/2676	1848/2317	5055/5825	46/98	5/10
12CDEG	0.8034962474830679	1876/2676	1843/2317	5013/5825	42/98	5/10
12CDF	0.8099945085118067	1899/2676	1866/2317	5033/5825	48/98	4/10
12CDFG	0.8127402526084568	1913/2676	1860/2317	5055/5825	47/98	5/10
12CDG	0.8028555738605162	1867/2676	1839/2317	5015/5825	47/98	4/10
12CE	0.7350356946732565	1720/2676	1737/2317	4529/5825	42/98	3/10
12CEF	0.7610287387882116	1787/2676	1770/2317	4707/5825	46/98	5/10
